block,pairs,x_1,w_1,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
2,1+2+5,0.558499,0.571237,0.744323,0.609218,0.000000,0.000000,0.000000,0.000000,0.713267,0.133915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0126270113,0.000468563526,0.1,0.0100466635
2,1+2+5,0.755176,0.591884,0.751132,0.733022,0.000000,0.000000,0.000000,0.000000,0.594391,0.633161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0152725726,0.000605872297,0.1,0.0114539198
2,1+2+5,0.858682,0.962220,0.587859,0.709421,0.000000,0.000000,0.000000,0.000000,0.306929,0.235307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.017021259,0.000555549013,0.1,0.0164310084
3,1+2+6,0.419237,0.351712,0.770719,0.886333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.967286,0.746653,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.00228414158,0.000231926973,0.1,0.000648240364
3,1+2+6,0.680497,0.598921,0.731809,0.958304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.359763,0.633259,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0145885123,0.000463666286,0.1,0.0142078614
3,1+2+6,0.578941,0.860308,0.915254,0.822757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.674690,0.651760,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0108679139,0.000496359609,0.1,0.0108387561
3,1+2+6,0.599428,0.122751,0.509717,0.502064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.591019,0.711824,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.000976982414,0.000132429416,0.1,0.000473375374
3,1+2+6,0.690793,0.627206,0.877575,0.621514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.904547,0.791729,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.00351763017,0.000237645706,0.1,0.00146442009
3,1+2+6,0.577957,0.765860,0.456510,0.318046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.837655,0.530562,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.00121621822,0.000133602361,0.1,0.000536878785
3,1+2+6,0.767023,0.500115,0.420515,0.611750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.967614,0.902553,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.00897778396,0.000538997513,0.1,0.00650154737
3,1+2+6,0.765378,0.763122,0.625951,0.689061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.693584,0.530158,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.00767535344,0.00037919257,0.1,0.0077294898
4,1+2+7,0.470943,0.616759,0.636954,0.776397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.378397,0.157697,0.000000,0.000000,-3.57453433e-05,0.0283479757,0.000941911479,0.1,0.0273747718
4,1+2+7,0.368104,0.799799,0.784829,0.256468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644163,0.593042,0.000000,0.000000,-3.57453433e-05,0.0199679015,0.00113197618,0.1,0.0222998569
4,1+2+7,0.235759,0.818922,0.110435,0.304783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.529989,0.201231,0.000000,0.000000,-3.57453433e-05,0.00831812498,0.000501414761,0.1,0.00924152604
4,1+2+7,0.789169,0.588174,0.603584,0.128567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.771648,0.379042,0.000000,0.000000,-3.57453433e-05,0.0198958134,0.000721783265,0.1,0.021224312
4,1+2+7,0.944775,0.193800,0.470369,0.278297,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.912597,0.905041,0.000000,0.000000,-3.57453433e-05,0.0112994377,0.000486064229,0.1,0.0125990761
4,1+2+7,0.748344,0.174141,0.378088,0.793734,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.603532,0.357427,0.000000,0.000000,-3.57453433e-05,0.0169154668,0.000555983564,0.1,0.0189387136
4,1+2+7,0.397001,0.555327,0.940597,0.759235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.959394,0.928303,0.000000,0.000000,-3.57453433e-05,0.018552064,0.000701791076,0.1,0.0227661272
4,1+2+7,0.508284,0.610837,0.486663,0.879844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.727319,0.418812,0.000000,0.000000,-3.57453433e-05,0.0279142274,0.000756871264,0.1,0.0306827273
5,1+2+8,0.122433,0.728105,0.795867,0.917086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.774691,0.749948,-3.57453433e-05,0.126329335,0.0033302261,0.2,0.117029809
5,1+2+8,0.467594,0.367168,0.419971,0.423910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.972289,0.390571,-3.57453433e-05,0.070403163,0.00178940961,0.2,0.070345077
5,1+2+8,0.988591,0.488424,0.958249,0.110412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.609657,0.520009,-3.57453433e-05,0.0787945949,0.00200668019,0.2,0.0752028919
5,1+2+8,0.571330,0.762923,0.848714,0.799683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386565,0.606251,-3.57453433e-05,0.0941766405,0.00286013655,0.2,0.0846725972
5,1+2+8,0.106646,0.245011,0.842533,0.847522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.610337,0.113569,-3.57453433e-05,0.0292420018,0.000917213158,0.1,0.023504083
5,1+2+8,0.585105,0.931385,0.813623,0.316305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.407096,0.692905,-3.57453433e-05,0.0872457889,0.00164072312,0.2,0.0833706362
5,1+2+8,0.260842,0.764525,0.537218,0.951822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.560922,0.606080,-3.57453433e-05,0.0937801517,0.00235703502,0.2,0.0866961228
5,1+2+8,0.907634,0.103853,0.361521,0.734210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.431774,0.989331,-3.57453433e-05,0.0805540852,0.00174731454,0.2,0.0778623196
6,1+3+4,0.960945,0.828328,0.000000,0.000000,0.280585,0.415283,0.631393,0.197636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0078655994,0.000424366542,0.1,0.00745551217
6,1+3+4,0.555440,0.943775,0.000000,0.000000,0.290666,0.497052,0.906739,0.712494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0325518028,0.000940065368,0.1,0.0307448468
6,1+3+4,0.273600,0.236369,0.000000,0.000000,0.665315,0.849728,0.155517,0.606657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0156403472,0.000779249259,0.1,0.0143793852
6,1+3+4,0.466644,0.474036,0.000000,0.000000,0.893875,0.229290,0.185437,0.908980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.57453433e-05,0.0181545414,0.000626991968,0.1,0.0181330572
