block,pairs,x_1,w_1,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
0,1+2,0.709414,0.672867,0.927989,0.706821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.028957647,0.000851343671,0.1,0.025037152
0,1+2,0.684474,0.397976,0.386621,0.185731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.00748426463,0.00038786545,0.1,0.00704220481
0,1+2,0.293758,0.409248,0.622381,0.877908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.0133212092,0.000452773139,0.1,0.01119534
0,1+2,0.945935,0.666840,0.508792,0.646085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.0211717647,0.000761608616,0.1,0.0202798533
0,1+2,0.268460,0.649751,0.968077,0.854485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.0181094956,0.000582284629,0.1,0.0150129696
0,1+2,0.677410,0.408331,0.851466,0.337514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.0148289825,0.00064098424,0.1,0.013004194
0,1+2,0.516752,0.761286,0.794216,0.869936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.0264776197,0.000719492357,0.1,0.0230401957
0,1+2,0.419617,0.403630,0.259094,0.375621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.00642760125,0.000322454837,0.1,0.00611127828
1,1+3,0.644312,0.960377,0.000000,0.000000,0.349661,0.933102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.0179844276,0.000504991308,0.1,0.0177717565
1,1+3,0.988328,0.234764,0.000000,0.000000,0.690383,0.705626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.0156128751,0.000612156481,0.1,0.015634494
1,1+3,0.966792,0.974179,0.000000,0.000000,0.572575,0.159718,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.00915601143,0.000367354995,0.1,0.00908544707
1,1+3,0.622661,0.718139,0.000000,0.000000,0.708647,0.989621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.0283449366,0.00090277283,0.1,0.0274868965
1,1+3,0.464374,0.678230,0.000000,0.000000,0.352214,0.146690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.00540072125,0.000327690239,0.1,0.00544241169
1,1+3,0.938877,0.562921,0.000000,0.000000,0.499653,0.834938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.0197130696,0.000872480173,0.1,0.0192497911
1,1+3,0.821902,0.283921,0.000000,0.000000,0.907338,0.880525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.47166782e-05,0.0242971561,0.000989210342,0.1,0.0228838012
