trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,std_ratio
0,2,2,36.87,36.87,0.1,0.1,0.9,0.9,-8.30322041e-05,0.0252346566,0.000736031838,0.0291675
0,2,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-8.30322041e-05,0.0249367985,0.0007195738,0.0288559
0,2,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-8.30322041e-05,0.0252647063,0.000870196304,0.0344432
0,2,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-8.30322041e-05,0.0251784779,0.000749872579,0.0297823
0,2,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-8.30322041e-05,0.0252446084,0.000785068016,0.0310984
0,2,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-8.30322041e-05,0.0252399351,0.000788222269,0.0312292
0,2,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-8.30322041e-05,0.0252132424,0.000662014514,0.0262566
0,2,2,116.4,116.4,0.722222,0.722222,0.9,0.9,-8.30322041e-05,0.0254102084,0.000995455702,0.0391754
0,2,2,128.5,128.5,0.811111,0.811111,0.9,0.9,-8.30322041e-05,0.0252259114,0.000697053371,0.0276324
0,2,2,143.1,143.1,0.9,0.9,0.9,0.9,-8.30322041e-05,0.0252562452,0.000737132699,0.0291862
0,3,2,36.87,36.87,0.1,0.1,0.9,0.9,-8.39859057e-05,0.022569132,0.00068027712,0.0301419
0,3,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-8.39859057e-05,0.0226896475,0.000652974246,0.0287785
0,3,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-8.39859057e-05,0.0251568624,0.000738473065,0.0293547
0,3,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-8.39859057e-05,0.0302761681,0.000817448209,0.0269997
0,3,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-8.39859057e-05,0.0376642006,0.000911228773,0.0241935
0,3,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-8.39859057e-05,0.0478693239,0.00109059638,0.0227828
0,3,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-8.39859057e-05,0.0592735548,0.00126341254,0.0213149
0,3,2,116.4,116.4,0.722222,0.722222,0.9,0.9,-8.39859057e-05,0.0734968304,0.0014796498,0.0201322
0,3,2,128.5,128.5,0.811111,0.811111,0.9,0.9,-8.39859057e-05,0.0893131633,0.00171604275,0.0192138
0,3,2,143.1,143.1,0.9,0.9,0.9,0.9,-8.39859057e-05,0.107403642,0.00247088575,0.0230056
0,4,2,36.87,36.87,0.1,0.1,0.9,0.9,-8.44644094e-05,0.0189777255,0.000637630362,0.0335989
0,4,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-8.44644094e-05,0.0152898652,0.000602982621,0.0394368
0,4,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-8.44644094e-05,0.0123148328,0.000509924819,0.0414074
0,4,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-8.44644094e-05,0.011257176,0.0004692222,0.0416821
0,4,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-8.44644094e-05,0.0122392291,0.000455151218,0.0371879
0,4,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-8.44644094e-05,0.0158787178,0.000620060749,0.0390498
0,4,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-8.44644094e-05,0.0222456528,0.000716729878,0.0322189
0,4,2,116.4,116.4,0.722222,0.722222,0.9,0.9,-8.44644094e-05,0.0318694933,0.000944822468,0.0296466
0,4,2,128.5,128.5,0.811111,0.811111,0.9,0.9,-8.44644094e-05,0.0452783632,0.00114302917,0.0252445
0,4,2,143.1,143.1,0.9,0.9,0.9,0.9,-8.44644094e-05,0.0635276108,0.00143384327,0.0225704
0,5,2,36.87,36.87,0.1,0.1,0.9,0.9,-8.27848244e-05,0.0228842776,0.000697087012,0.0304614
0,5,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-8.27848244e-05,0.019337143,0.000612815567,0.0316911
0,5,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-8.27848244e-05,0.0146810539,0.000555971454,0.03787
0,5,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-8.27848244e-05,0.0100270566,0.000459814306,0.0458574
0,5,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-8.27848244e-05,0.00557613736,0.000321408659,0.05764
0,5,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-8.27848244e-05,0.00224742348,0.000206381107,0.0918301
0,5,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-8.27848244e-05,0.000423379544,9.21685698e-05,0.217697
0,5,2,116.4,116.4,0.722222,0.722222,0.9,0.9,-8.27848244e-05,0.000779040193,0.00015917778,0.204326
0,5,2,128.5,128.5,0.811111,0.811111,0.9,0.9,-8.27848244e-05,0.00432133902,0.000386140697,0.0893567
0,5,2,143.1,143.1,0.9,0.9,0.9,0.9,-8.27848244e-05,0.0131296062,0.000796479174,0.0606628
0,6,2,36.87,36.87,0.1,0.1,0.9,0.9,-8.73485754e-05,0.033741325,0.0010290781,0.030499
0,6,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-8.73485754e-05,0.0382983454,0.0010221598,0.0266894
0,6,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-8.73485754e-05,0.0424947925,0.00111377936,0.0262098
0,6,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-8.73485754e-05,0.0454797895,0.00114867137,0.0252567
0,6,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-8.73485754e-05,0.0464373368,0.00119013423,0.0256288
0,6,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-8.73485754e-05,0.0457940402,0.00119364481,0.0260655
0,6,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-8.73485754e-05,0.0433121508,0.00122315078,0.0282404
0,6,2,116.4,116.4,0.722222,0.722222,0.9,0.9,-8.73485754e-05,0.0399965456,0.00145566505,0.0363948
0,6,2,128.5,128.5,0.811111,0.811111,0.9,0.9,-8.73485754e-05,0.0340297411,0.00102671359,0.0301711
0,6,2,143.1,143.1,0.9,0.9,0.9,0.9,-8.73485754e-05,0.0263900976,0.000822738085,0.031176
