block,pairs,v,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,dark_v,voltage_mean_v,voltage_std_v,std_ratio,pred_v
0,2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,-9.68790041e-05,0.000285595953,8.58981656e-05,0.300768,0.000318499801
0,2,0.26,0.26,0.26,0,0,0,0,0,0,0,0,-9.68790041e-05,0.00204114276,0.000202644505,0.0992799,0.00214031499
0,2,0.42,0.42,0.42,0,0,0,0,0,0,0,0,-9.68790041e-05,0.00551803426,0.00029303682,0.0531053,0.00557716464
0,2,0.58,0.58,0.58,0,0,0,0,0,0,0,0,-9.68790041e-05,0.0107629581,0.000401801447,0.0373319,0.0106290488
0,2,0.74,0.74,0.74,0,0,0,0,0,0,0,0,-9.68790041e-05,0.0173151018,0.000688588064,0.0397681,0.0172959673
0,2,0.9,0.9,0.9,0,0,0,0,0,0,0,0,-9.68790041e-05,0.0251354182,0.000671930991,0.0267324,0.0255779204
1,3,0.1,0,0,0.1,0.1,0,0,0,0,0,0,-9.68790041e-05,0.000276923909,7.49171289e-05,0.270533,0.000325768317
1,3,0.26,0,0,0.26,0.26,0,0,0,0,0,0,-9.68790041e-05,0.00219818572,0.000191640799,0.0871814,0.00218798433
1,3,0.42,0,0,0.42,0.42,0,0,0,0,0,0,-9.68790041e-05,0.00577107935,0.000321831851,0.0557663,0.00570064552
1,3,0.58,0,0,0.58,0.58,0,0,0,0,0,0,-9.68790041e-05,0.0110767509,0.000486388145,0.0439107,0.0108637519
1,3,0.74,0,0,0.74,0.74,0,0,0,0,0,0,-9.68790041e-05,0.0179844555,0.000622572861,0.0346173,0.0176773034
1,3,0.9,0,0,0.9,0.9,0,0,0,0,0,0,-9.68790041e-05,0.0259730609,0.000788414338,0.0303551,0.0261413001
2,4,0.1,0,0,0,0,0.1,0.1,0,0,0,0,-9.68790041e-05,0.000325843504,8.10177174e-05,0.24864,0.000373725667
