trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,voltage_sem_v,sem_ratio
0,1,0,36.87,36.87,0.1,0.1,1,1,-2.45899441e-05,0.0232414352,0.000988286436,4.94143218e-05,0.00212613
0,1,0,53.13,53.13,0.2,0.2,1,1,-2.45899441e-05,0.0219371162,0.000921964705,4.60982352e-05,0.00210138
0,1,0,66.42,66.42,0.3,0.3,1,1,-2.45899441e-05,0.0229068343,0.000996262891,4.98131445e-05,0.0021746
0,1,0,78.46,78.46,0.4,0.4,1,1,-2.45899441e-05,0.0266680475,0.00104414662,5.22073309e-05,0.00195767
0,1,0,90,90,0.5,0.5,1,1,-2.45899441e-05,0.0335432108,0.00121139136,6.05695679e-05,0.00180572
0,1,0,101.5,101.5,0.6,0.6,1,1,-2.45899441e-05,0.0431626027,0.00155105922,7.75529609e-05,0.00179676
0,1,0,113.6,113.6,0.7,0.7,1,1,-2.45899441e-05,0.0556487115,0.00161000964,8.05004821e-05,0.00144658
0,1,0,126.9,126.9,0.8,0.8,1,1,-2.45899441e-05,0.0711378845,0.00194666214,9.73331072e-05,0.00136823
0,1,0,143.1,143.1,0.9,0.9,1,1,-2.45899441e-05,0.0898288272,0.00197608855,9.88044276e-05,0.00109992
0,1,0,180,180,1,1,1,1,-2.45899441e-05,0.104431782,0.000624551087,3.12275544e-05,0.000299023
0,3,0,36.87,36.87,0.1,0.1,1,1,-2.73350031e-05,0.0268316505,0.00103692731,5.18463655e-05,0.00193228
0,3,0,53.13,53.13,0.2,0.2,1,1,-2.73350031e-05,0.0250361277,0.00103891196,5.1945598e-05,0.00207483
0,3,0,66.42,66.42,0.3,0.3,1,1,-2.73350031e-05,0.0214271733,0.00100821203,5.04106014e-05,0.00235265
0,3,0,78.46,78.46,0.4,0.4,1,1,-2.73350031e-05,0.0178420692,0.000850564411,4.25282205e-05,0.00238359
0,3,0,90,90,0.5,0.5,1,1,-2.73350031e-05,0.0126735047,0.000746403806,3.73201903e-05,0.00294474
0,3,0,101.5,101.5,0.6,0.6,1,1,-2.73350031e-05,0.00822549696,0.000620506016,3.10253008e-05,0.00377185
0,3,0,113.6,113.6,0.7,0.7,1,1,-2.73350031e-05,0.00337789269,0.000365014004,1.82507002e-05,0.00540298
0,3,0,126.9,126.9,0.8,0.8,1,1,-2.73350031e-05,0.00110232426,0.000207389636,1.03694818e-05,0.00940693
0,3,0,143.1,143.1,0.9,0.9,1,1,-2.73350031e-05,0.00247799112,0.00031027461,1.55137305e-05,0.00626061
0,3,0,180,180,1,1,1,1,-2.73350031e-05,0.0165177762,0.000894102865,4.47051432e-05,0.00270649
