timestamp,elapsed_min,sig_mean_mV,sig_sem_mV,laser_mean_mV,laser_sem_mV,pmt_ohm_Ohm
2026-08-29T02:40:26,0.00,23.366644,0.05005,0.05097,0.00015,9016.481
2026-08-29T02:55:26,15.00,23.275152,0.051073,0.052618,0.000161,9021.737
2026-08-29T03:10:26,30.00,23.434316,0.052483,0.051184,0.00016,9032.801
2026-08-29T03:25:26,45.00,23.088464,0.058475,0.049789,0.000153,9046.12
2026-08-29T03:40:26,60.00,23.205937,0.049354,0.051451,0.000154,9047.971
2026-08-29T03:55:26,75.00,23.010944,0.04761,0.052085,0.000164,9063.936
2026-08-29T04:10:26,90.00,23.360475,0.048866,0.0515,0.000158,9071.121
2026-08-29T04:25:26,105.00,23.403035,0.053417,0.050299,0.00016,9068.969
2026-08-29T04:40:26,120.00,23.508,0.055063,0.050771,0.000154,9077.318
2026-08-29T04:55:26,135.00,23.119523,0.052252,0.050278,0.000154,9094.623
2026-08-29T05:10:26,150.00,23.259519,0.047549,0.049809,0.00016,9083.944
2026-08-29T05:25:26,165.00,23.228687,0.057992,0.049615,0.000165,9101.03
2026-08-29T05:40:26,180.00,23.501186,0.053374,0.050713,0.000169,9100.117
2026-08-29T05:55:26,195.00,23.428733,0.050508,0.049701,0.000161,9108.289
2026-08-29T06:10:26,210.00,23.260796,0.051033,0.051739,0.000164,9118.92
2026-08-29T06:25:26,225.00,23.262643,0.05272,0.051325,0.000152,9129.099
2026-08-29T06:40:26,240.00,23.045563,0.050591,0.050101,0.000158,9123.443
2026-08-29T06:55:26,255.00,23.268118,0.051722,0.051129,0.000163,9132.879
2026-08-29T07:10:26,270.00,23.115534,0.048266,0.050607,0.000151,9132.135
2026-08-29T07:25:26,285.00,23.18178,0.053544,0.05137,0.000158,9137.157
2026-08-29T07:40:26,300.00,23.416114,0.052517,0.049759,0.000164,9142.611
2026-08-29T07:55:26,315.00,23.097547,0.048092,0.051106,0.000155,9140.607
2026-08-29T08:10:26,330.00,23.16409,0.048243,0.049674,0.00016,9146.723
2026-08-29T08:25:26,345.00,23.343568,0.055287,0.050453,0.000149,9154.429
2026-08-29T08:40:26,360.00,23.345971,0.050096,0.049708,0.000161,9166.439
2026-08-29T08:55:26,375.00,22.88051,0.055012,0.048442,0.000154,9162.682
2026-08-29T09:10:26,390.00,23.275408,0.054512,0.04983,0.000159,9171.563
2026-08-29T09:25:26,405.00,23.270175,0.050735,0.050164,0.000163,9174.178
2026-08-29T09:40:26,420.00,23.330999,0.048711,0.048993,0.000146,9166.578
2026-08-29T09:55:26,435.00,23.022998,0.04899,0.050506,0.000154,9165.47
2026-08-29T10:10:26,450.00,23.241451,0.051457,0.049697,0.000155,9154.302
2026-08-29T10:25:26,465.00,22.863203,0.046174,0.050748,0.000159,9141.083
2026-08-29T10:40:26,480.00,22.946194,0.049623,0.051463,0.000159,9118.607
2026-08-29T10:55:26,495.00,23.152794,0.053311,0.050275,0.000165,9107.816
2026-08-29T11:10:26,510.00,22.985933,0.048093,0.050631,0.000157,9094.265
2026-08-29T11:25:26,525.00,23.104582,0.052947,0.051776,0.000153,9066.544
2026-08-29T11:40:26,540.00,23.118945,0.048833,0.052242,0.000158,9057.581
2026-08-29T11:55:26,555.00,23.127977,0.049166,0.051007,0.000161,9039.607
2026-08-29T12:10:26,570.00,23.03952,0.049708,0.050838,0.000149,9029.918
2026-08-29T12:25:26,585.00,23.160034,0.050923,0.050991,0.000161,9016.335
2026-08-29T12:40:26,600.00,23.182664,0.04796,0.05125,0.000155,9001.748
2026-08-29T12:55:26,615.00,23.112955,0.052649,0.052266,0.000156,8991.748
2026-08-29T13:10:26,630.00,23.001964,0.051503,0.051632,0.000158,8992.312
2026-08-29T13:25:26,645.00,22.879982,0.053979,0.050459,0.000157,8981.036
2026-08-29T13:40:26,660.00,23.143979,0.047778,0.050773,0.000165,8957.673
2026-08-29T13:55:26,675.00,22.915725,0.046944,0.049844,0.000155,8953.033
2026-08-29T14:10:26,690.00,22.968053,0.04878,0.051273,0.000158,8933.291
2026-08-29T14:25:26,705.00,23.077279,0.047268,0.052014,0.000151,8916.951
2026-08-29T14:40:26,720.00,22.954588,0.049326,0.052048,0.000158,8899.252
2026-08-29T14:55:26,735.00,23.01098,0.047042,0.050772,0.000161,8884.969
