# step-6 v2 measurement, x/w replaced by delivered
# source: calib_step6v2_meas_0904_0140.csv  (0904 run, encoded with method=interp)
# delivered = sin^2(Delta(L)/2) from the fitted transfer model in calib_step3b_0903_1517.json
# *_cmd columns are the values the run asked for; level_* is the grayscale it actually wrote
trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio,x_cmd,w_cmd,level_x,level_w
0,4,0.000726859143,0.00257853131,1.87422906e-06,-6.07859908e-05,7.20555042e-05,1.1854,0,0,395,395
1,4,0.927779372,0.997218775,0.925199009,0.0318899629,0.0016295434,0.0510989,1,1,770,900
1,4,0.927779372,0.872877926,0.809838134,0.0282589484,0.0015123604,0.0535179,1,0.9,770,766
1,4,0.927779372,0.722742305,0.670545402,0.0235548628,0.00133366356,0.0566195,1,0.7,770,705
1,4,0.927779372,0.432088738,0.400883018,0.0139349112,0.00100204033,0.0719086,1,0.45,770,609
1,4,0.927779372,0.25050819,0.232416331,0.00766906213,0.000777860089,0.101428,1,0.25,770,547
1,4,0.501223584,0.475489196,0.238326399,0.00870010269,0.000821703371,0.0944475,0.5,0.5,619,623
1,4,0.927779372,0.211170992,0.195920091,0.00616512377,0.000659528858,0.106977,1,0.2,770,532
1,4,0.927779372,0.00257853131,0.00239230816,-4.62312567e-05,8.1466701e-05,1.76216,1,0,770,395
1,4,0.000726859143,0.997218775,0.000724837584,-3.71257087e-05,7.585212e-05,2.04312,0,1,395,900
1,4,0.501223584,0.00257853131,0.0012924207,-3.4880086e-05,6.87181656e-05,1.97013,0.5,0,619,395
1,4,0.000726859143,0.475489196,0.00034561367,-3.96555805e-05,6.413892e-05,1.6174,0,0.5,395,623
1,4,0.000726859143,0.00257853131,1.87422906e-06,-4.967769e-05,0.000116442636,2.34396,0,0,395,395
2,4,0.927779372,0.872877926,0.809838134,0.0283662049,0.00154234975,0.0543728,1,0.9,770,766
2,4,0.927779372,0.722742305,0.670545402,0.0236526715,0.00136430235,0.0576807,1,0.7,770,705
2,4,0.927779372,0.432088738,0.400883018,0.0139698883,0.00106808259,0.0764561,1,0.45,770,609
2,4,0.927779372,0.25050819,0.232416331,0.00777799807,0.000731440389,0.0940397,1,0.25,770,547
2,4,0.501223584,0.475489196,0.238326399,0.00857757958,0.000815908203,0.095121,0.5,0.5,619,623
2,4,0.927779372,0.211170992,0.195920091,0.00614692431,0.00063984305,0.104092,1,0.2,770,532
2,4,0.927779372,0.00257853131,0.00239230816,-3.72729086e-05,7.1557555e-05,1.91983,1,0,770,395
3,4,0.927779372,0.872877926,0.809838134,0.0285952666,0.00155702643,0.0544505,1,0.9,770,766
3,4,0.927779372,0.722742305,0.670545402,0.0239201929,0.00129758487,0.0542464,1,0.7,770,705
3,4,0.927779372,0.432088738,0.400883018,0.0140801721,0.00103346181,0.0733984,1,0.45,770,609
3,4,0.927779372,0.211170992,0.195920091,0.00630702556,0.000688420391,0.109151,1,0.2,770,532
4,4,0.927779372,0.872877926,0.809838134,0.028452805,0.00159297028,0.0559864,1,0.9,770,766
5,4,0.927779372,0.872877926,0.809838134,0.0279043012,0.00145149833,0.052017,1,0.9,770,766
0,5,0.987739713,0.999482148,0.98722821,0.0412791156,0.00177587439,0.0430211,1,1,875,860
0,5,0.987739713,0.943496415,0.931928879,0.0380384201,0.00170082303,0.0447133,1,0.9,875,793
