trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,dark_v,voltage_mean_v,voltage_std_v,std_ratio
0,7,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-2.64444046e-05,0.0149071794,0.000699539332,0.0469263
0,7,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-2.64444046e-05,0.0159531345,0.00067494367,0.0423079
0,7,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-2.64444046e-05,0.017076048,0.000708833693,0.0415104
0,7,2,116.4,116.4,0.722222,0.722222,0.9,0.9,-2.64444046e-05,0.0173906454,0.000845159495,0.0485985
0,7,2,128.5,128.5,0.811111,0.811111,0.9,0.9,-2.64444046e-05,0.0171358417,0.000692488949,0.0404117
0,7,2,143.1,143.1,0.9,0.9,0.9,0.9,-2.64444046e-05,0.0157156664,0.00069835428,0.0444368
0,8,2,36.87,36.87,0.1,0.1,0.9,0.9,-2.72332325e-05,0.00563190969,0.000335032699,0.0594883
0,8,2,51.52,51.52,0.188889,0.188889,0.9,0.9,-2.72332325e-05,0.00805345094,0.000438574992,0.054458
0,8,2,63.61,63.61,0.277778,0.277778,0.9,0.9,-2.72332325e-05,0.0126964835,0.000599515572,0.047219
0,8,2,74.53,74.53,0.366667,0.366667,0.9,0.9,-2.72332325e-05,0.0188556957,0.000821335151,0.043559
0,8,2,84.9,84.9,0.455556,0.455556,0.9,0.9,-2.72332325e-05,0.0268243215,0.00106779851,0.0398071
0,8,2,95.1,95.1,0.544444,0.544444,0.9,0.9,-2.72332325e-05,0.0353911226,0.0014631446,0.0413421
0,8,2,105.5,105.5,0.633333,0.633333,0.9,0.9,-2.72332325e-05,0.0453399516,0.00167626255,0.036971
0,8,2,116.4,116.4,0.722222,0.722222,0.9,0.9,-2.72332325e-05,0.0552470307,0.00182078629,0.0329572
0,8,2,128.5,128.5,0.811111,0.811111,0.9,0.9,-2.72332325e-05,0.0655633539,0.00238293652,0.0363456
0,8,2,143.1,143.1,0.9,0.9,0.9,0.9,-2.72332325e-05,0.0756148393,0.00259884039,0.0343694
