block,pairs,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
0,2+3+4+5,0.465152,0.511712,0.696024,0.761667,0.139936,0.427789,0.648846,0.560375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.0146071802,0.000592139576,0.1,0.0125177959
0,2+3+4+5,0.483647,0.843547,0.699744,0.720944,0.676739,0.359082,0.603676,0.286795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.0163007825,0.000637669457,0.1,0.0140438817
0,2+3+4+5,0.207957,0.853314,0.162890,0.480031,0.550602,0.723146,0.394601,0.352801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.0120291211,0.000533944157,0.1,0.010712139
0,2+3+4+5,0.722841,0.884664,0.642690,0.619979,0.153988,0.487900,0.807152,0.140323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.00964423849,0.000452759359,0.1,0.00825265616
0,2+3+4+5,0.854971,0.398659,0.796762,0.706962,0.450055,0.545124,0.626735,0.845699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.0266148462,0.000938518567,0.1,0.0238736798
0,2+3+4+5,0.883854,0.445025,0.560071,0.292494,0.758246,0.623406,0.488927,0.300608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.0156030089,0.000637380011,0.1,0.0141903036
0,2+3+4+5,0.208108,0.181011,0.967720,0.335735,0.343932,0.759190,0.665490,0.393073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.0140498508,0.000638561777,0.1,0.0121765388
0,2+3+4+5,0.810881,0.234639,0.253749,0.903627,0.475071,0.606699,0.782491,0.814175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.0285213642,0.00100459834,0.1,0.0262104712
1,2+3+4+6,0.142632,0.617468,0.338416,0.826200,0.728473,0.832047,0.000000,0.000000,0.539723,0.421455,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.00927710557,0.000476792909,0.1,0.00785934138
1,2+3+4+6,0.708005,0.205926,0.620209,0.403452,0.297640,0.618365,0.000000,0.000000,0.924802,0.669998,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.0116806517,0.000706050366,0.1,0.0110514214
1,2+3+4+6,0.226909,0.965562,0.345537,0.783661,0.216336,0.845600,0.000000,0.000000,0.345745,0.845819,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.00431550289,0.000276883382,0.1,0.00371116589
1,2+3+4+6,0.976423,0.334305,0.290140,0.325829,0.905684,0.522176,0.000000,0.000000,0.459449,0.461301,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.00499958398,0.00034179295,0.1,0.00450444933
1,2+3+4+6,0.524798,0.537219,0.921576,0.484720,0.757347,0.623173,0.000000,0.000000,0.103645,0.506409,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.0166148888,0.000676352565,0.1,0.0152793822
1,2+3+4+6,0.143172,0.186227,0.944315,0.933759,0.963473,0.663842,0.000000,0.000000,0.363408,0.984733,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.00895748239,0.00044509779,0.1,0.0070162712
1,2+3+4+6,0.502242,0.340270,0.129692,0.659861,0.780088,0.480924,0.000000,0.000000,0.965194,0.697009,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.0155080805,0.000678398564,0.1,0.0149400445
1,2+3+4+6,0.929555,0.805112,0.382103,0.814049,0.315701,0.111001,0.000000,0.000000,0.186251,0.508246,0.000000,0.000000,0.000000,0.000000,-3.30630461e-05,0.00524347025,0.000293280707,0.1,0.00482696794
2,2+3+4+7,0.242169,0.694128,0.499582,0.268760,0.367834,0.411236,0.000000,0.000000,0.000000,0.000000,0.384096,0.384565,0.000000,0.000000,-3.30630461e-05,0.004291736,0.000312413684,0.1,0.00436184677
2,2+3+4+7,0.165762,0.336500,0.579048,0.899989,0.107928,0.301018,0.000000,0.000000,0.000000,0.000000,0.820096,0.408017,0.000000,0.000000,-3.30630461e-05,0.00401547728,0.000287702717,0.1,0.00415024163
2,2+3+4+7,0.566716,0.522207,0.310048,0.622575,0.327708,0.134511,0.000000,0.000000,0.000000,0.000000,0.543302,0.162837,0.000000,0.000000,-3.30630461e-05,0.00617505763,0.000354208719,0.1,0.00607150029
2,2+3+4+7,0.307921,0.369004,0.131824,0.464402,0.717069,0.844043,0.000000,0.000000,0.000000,0.000000,0.259159,0.466841,0.000000,0.000000,-3.30630461e-05,0.0102725002,0.000641246662,0.1,0.0104072808
2,2+3+4+7,0.426801,0.572412,0.488173,0.503341,0.690308,0.930556,0.000000,0.000000,0.000000,0.000000,0.646808,0.346227,0.000000,0.000000,-3.30630461e-05,0.01678734,0.000725262828,0.1,0.0168211285
2,2+3+4+7,0.424127,0.123554,0.104646,0.194266,0.335722,0.369420,0.000000,0.000000,0.000000,0.000000,0.517004,0.577516,0.000000,0.000000,-3.30630461e-05,0.000483789781,9.29699899e-05,0.1,0.000433408489
2,2+3+4+7,0.950679,0.254021,0.635650,0.673675,0.823390,0.883373,0.000000,0.000000,0.000000,0.000000,0.979883,0.567129,0.000000,0.000000,-3.30630461e-05,0.0091256559,0.000386234733,0.1,0.0087225064
2,2+3+4+7,0.119366,0.980265,0.914230,0.593626,0.659879,0.475850,0.000000,0.000000,0.000000,0.000000,0.446592,0.963561,0.000000,0.000000,-3.30630461e-05,0.00544558613,0.000396585101,0.1,0.00463225981
3,2+3+4+8,0.382544,0.662673,0.992261,0.533142,0.540326,0.195557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.180649,0.228489,-3.30630461e-05,0.0234418581,0.000871091666,0.1,0.0216176904
3,2+3+4+8,0.798586,0.634422,0.513669,0.925294,0.972891,0.111108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.468451,0.630825,-3.30630461e-05,0.0628530185,0.00167396787,0.1,0.0606434525
3,2+3+4+8,0.307779,0.321466,0.904900,0.775597,0.841025,0.633578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.540526,0.772603,-3.30630461e-05,0.0763645328,0.00225594335,0.2,0.0734961234
