block,pairs,v,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,dark_v,voltage_mean_v,voltage_std_v,std_ratio,pred_v
6,2+4,0.42,0.42,0.42,0,0,0.42,0.42,0,0,0,0,-8.10112243e-05,0.010749471,0.000529627747,0.0492701,0.0106203043
6,2+4,0.58,0.58,0.58,0,0,0.58,0.58,0,0,0,0,-8.10112243e-05,0.0207228266,0.000720216748,0.0347548,0.0202344645
6,2+4,0.74,0.74,0.74,0,0,0.74,0.74,0,0,0,0,-8.10112243e-05,0.0333190769,0.00107812582,0.0323576,0.0329208068
6,2+4,0.9,0.9,0.9,0,0,0.9,0.9,0,0,0,0,-8.10112243e-05,0.04723974,0.0014826235,0.0313851,0.0486793312
7,2+5,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0,0,-8.10112243e-05,3.19746009e-05,5.77372348e-05,1.80572,0.000132430372
7,2+5,0.26,0.26,0.26,0,0,0,0,0.26,0.26,0,0,-8.10112243e-05,0.000747775979,0.000118440651,0.158391,0.00086694878
7,2+5,0.42,0.42,0.42,0,0,0,0,0.42,0.42,0,0,-8.10112243e-05,0.0021460663,0.000193652238,0.0902359,0.00224470388
7,2+5,0.58,0.58,0.58,0,0,0,0,0.58,0.58,0,0,-8.10112243e-05,0.00438732664,0.000313050741,0.0713534,0.00426569567
7,2+5,0.74,0.74,0.74,0,0,0,0,0.74,0.74,0,0,-8.10112243e-05,0.00662652858,0.000417059373,0.0629378,0.00692992415
7,2+5,0.9,0.9,0.9,0,0,0,0,0.9,0.9,0,0,-8.10112243e-05,0.0100180549,0.000556742698,0.0555739,0.0102373893
8,2+6,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,-8.10112243e-05,0.000220573254,7.44661713e-05,0.337603,0.000258909653
8,2+6,0.26,0.26,0.26,0,0,0,0,0,0,0.26,0.26,-8.10112243e-05,0.00170651261,0.000173068804,0.101417,0.00170686683
8,2+6,0.42,0.42,0.42,0,0,0,0,0,0,0.42,0.42,-8.10112243e-05,0.00466009216,0.000274506627,0.0589058,0.0044270723
8,2+6,0.58,0.58,0.58,0,0,0,0,0,0,0.58,0.58,-8.10112243e-05,0.00883316767,0.000434576709,0.0491983,0.00841952607
8,2+6,0.74,0.74,0.74,0,0,0,0,0,0,0.74,0.74,-8.10112243e-05,0.0140874625,0.000651057518,0.0462154,0.0136842281
8,2+6,0.9,0.9,0.9,0,0,0,0,0,0,0.9,0.9,-8.10112243e-05,0.0206034383,0.000606280652,0.0294262,0.0202211785
9,3+4,0.1,0,0,0.1,0.1,0.1,0.1,0,0,0,0,-8.10112243e-05,0.000961537369,0.000124875496,0.129871,0.000829147226
9,3+4,0.26,0,0,0.26,0.26,0.26,0.26,0,0,0,0,-8.10112243e-05,0.0061369637,0.000370224197,0.0603269,0.00557236307
9,3+4,0.42,0,0,0.42,0.42,0.42,0.42,0,0,0,0,-8.10112243e-05,0.0164521183,0.000519854815,0.031598,0.0145206008
