wavelength_m,power_W
7.75712e-07,0.00204275425
7.7572e-07,0.00200262364
7.75728e-07,0.00198665795
7.75736e-07,0.00195967287
7.75744e-07,0.00193709419
7.75752e-07,0.00192432118
7.7576e-07,0.00191486481
7.75768e-07,0.00189409401
7.75776e-07,0.00183243273
7.75784e-07,0.00186726202
7.75792e-07,0.00192818385
7.758e-07,0.00199171701
7.75808e-07,0.00200536223
7.75816e-07,0.00201268158
7.75824e-07,0.00202116641
7.75832e-07,0.00201036554
7.7584e-07,0.0020036656
7.75848e-07,0.00200795583
7.75856e-07,0.00202798951
7.75864e-07,0.00207918754
7.75872e-07,0.00215974436
7.7588e-07,0.0022227997
7.75888e-07,0.00219670133
7.75896e-07,0.00223677764
7.75904e-07,0.00223543076
7.75912e-07,0.00224846064
7.7592e-07,0.00229096139
7.75928e-07,0.00227970493
7.75936e-07,0.00230471487
7.75944e-07,0.00232303266
7.75952e-07,0.00232264254
7.7596e-07,0.00236176381
7.75968e-07,0.00236069341
7.75976e-07,0.00232973955
7.75984e-07,0.00231470451
7.75992e-07,0.00231191152
7.76e-07,0.00228539247
7.76008e-07,0.00233223204
7.76016e-07,0.00242657133
7.76024e-07,0.00246638047
7.76032e-07,0.00241247367
7.7604e-07,0.00243587342
7.76048e-07,0.00251954755
7.76056e-07,0.00261775296
7.76064e-07,0.0026425968
7.76072e-07,0.00264251099
7.7608e-07,0.00267228627
7.76088e-07,0.00267662298
7.76096e-07,0.00271288353
7.76104e-07,0.00270805818
7.76112e-07,0.002660091
7.7612e-07,0.00264092153
7.76128e-07,0.00274547532
7.76136e-07,0.00276153578
7.76144e-07,0.00273923821
7.76152e-07,0.00264380328
7.7616e-07,0.00269767514
7.76168e-07,0.00269440166
7.76176e-07,0.00261294567
7.76184e-07,0.00255741422
7.76192e-07,0.00268406708
7.762e-07,0.0028384067
7.76208e-07,0.00291914351
7.76216e-07,0.00291752516
7.76224e-07,0.00297218199
7.76232e-07,0.00297363401
7.7624e-07,0.00306638279
7.76248e-07,0.00311037929
7.76256e-07,0.00309525295
7.76264e-07,0.0031199506
7.76272e-07,0.00315869189
7.7628e-07,0.00322404917
7.76288e-07,0.00332220527
7.76296e-07,0.00338253452
7.76304e-07,0.00340235913
7.76312e-07,0.00336672204
7.7632e-07,0.00329478064
7.76328e-07,0.00326021399
7.76336e-07,0.00334267264
7.76344e-07,0.00338457642
7.76352e-07,0.00334301195
7.7636e-07,0.0033077007
7.76368e-07,0.00330086183
7.76376e-07,0.00327768337
7.76384e-07,0.00330312007
7.76392e-07,0.003328772
7.764e-07,0.00334964173
7.76408e-07,0.00334792061
7.76416e-07,0.00330547606
7.76424e-07,0.00335915486
7.76432e-07,0.0034198009
7.7644e-07,0.00342878303
7.76448e-07,0.00343992223
7.76456e-07,0.00349670457
7.76464e-07,0.00354738069
7.76472e-07,0.00356285398
7.7648e-07,0.00354245346
7.76488e-07,0.00355676029
7.76496e-07,0.0035682624
7.76504e-07,0.00354875018
7.76512e-07,0.00351120484
7.7652e-07,0.00349704958
7.76528e-07,0.00352123265
7.76536e-07,0.00353099498
7.76544e-07,0.00352754461
7.76552e-07,0.00356300824
7.7656e-07,0.00358486211
7.76568e-07,0.00360382578
7.76576e-07,0.00359591849
7.76584e-07,0.00358773977
7.76592e-07,0.00359578714
7.766e-07,0.00362512827
7.76608e-07,0.0036619308
7.76616e-07,0.00369797673
7.76624e-07,0.00371971214
7.76632e-07,0.0037153642
7.7664e-07,0.00368194386
7.76648e-07,0.00366423066
7.76656e-07,0.00363668045
7.76664e-07,0.00360063292
7.76672e-07,0.0035382345
7.7668e-07,0.00353939327
7.76688e-07,0.00370408226
7.76696e-07,0.00387647986
7.76704e-07,0.00387695943
7.76712e-07,0.00378627804
7.7672e-07,0.00376940995
7.76728e-07,0.00387230744
7.76736e-07,0.00392206161
7.76744e-07,0.0038825333
7.76752e-07,0.00385113403
7.7676e-07,0.00389666516
7.76768e-07,0.00395659872
7.76776e-07,0.0040416016
7.76784e-07,0.00411978459
7.76792e-07,0.00412333603
7.768e-07,0.00407524284
7.76808e-07,0.00406107411
7.76816e-07,0.00411803189
7.76824e-07,0.00415352157
7.76832e-07,0.00417086262
7.7684e-07,0.00409350401
7.76848e-07,0.00407209674
7.76856e-07,0.00411848292
7.76864e-07,0.00420334953
7.76872e-07,0.00425700789
7.7688e-07,0.00424283981
7.76888e-07,0.00420511008
7.76896e-07,0.00417509509
7.76904e-07,0.00413376411
7.76912e-07,0.00413811675
7.7692e-07,0.00423629636
7.76928e-07,0.00441100617
7.76936e-07,0.00453618827
7.76944e-07,0.00457736977
7.76952e-07,0.00452693617
7.7696e-07,0.00447682626
7.76968e-07,0.00447972842
7.76976e-07,0.00454720872
7.76984e-07,0.00453379547
7.76992e-07,0.00445744304
7.77e-07,0.00444236656
7.77008e-07,0.00445706694
7.77016e-07,0.00448178662
7.77024e-07,0.00451466711
7.77032e-07,0.00458172215
7.7704e-07,0.00471956043
7.77048e-07,0.0049420876
7.77056e-07,0.00516505784
7.77064e-07,0.00527245358
7.77072e-07,0.00533582592
7.7708e-07,0.00535153033
7.77088e-07,0.00538291738
7.77096e-07,0.00538167969
7.77104e-07,0.00539235477
7.77112e-07,0.005409258
7.7712e-07,0.00533752973
7.77128e-07,0.00520158021
7.77136e-07,0.00509498649
7.77144e-07,0.00508152351
7.77152e-07,0.00510152726
7.7716e-07,0.00509336639
7.77168e-07,0.00505280918
7.77176e-07,0.0050067632
7.77184e-07,0.00500121736
7.77192e-07,0.00508737072
7.772e-07,0.00516991344
7.77208e-07,0.00518633289
7.77216e-07,0.00527875568
7.77224e-07,0.00538619909
7.77232e-07,0.00542804063
7.7724e-07,0.00544324936
7.77248e-07,0.00538235114
7.77256e-07,0.00530351013
7.77264e-07,0.00532898995
7.77272e-07,0.00545883332
7.7728e-07,0.00554605066
7.77288e-07,0.00556273218
7.77296e-07,0.00555397384
7.77304e-07,0.00560899446
7.77312e-07,0.00565583412
7.7732e-07,0.00565833093
7.77328e-07,0.00561515503
7.77336e-07,0.00554744862
7.77344e-07,0.00545868903
7.77352e-07,0.00542053087
7.7736e-07,0.00537625751
7.77368e-07,0.00550150849
7.77376e-07,0.0057013204
7.77384e-07,0.00567174199
7.77392e-07,0.00545642269
7.774e-07,0.00532276545
7.77408e-07,0.00534103352
7.77416e-07,0.00540414196
7.77424e-07,0.00545929352
7.77432e-07,0.00550413635
7.7744e-07,0.00559876749
7.77448e-07,0.00572259582
