coordinate_px,wavelength_nm,level,intensity,raw_intensity_w
682.132974671269,780.696706819507,340,5.966476922024297e-06,5.966476922024297e-06
682.132974671269,780.696706819507,360,3.287894863180502e-06,3.287894863180502e-06
682.132974671269,780.696706819507,380,1.0676649282784483e-06,1.0676649282784483e-06
682.132974671269,780.696706819507,400,2.78178602904647e-06,2.78178602904647e-06
682.132974671269,780.696706819507,420,5.100171369817956e-07,5.100171369817956e-07
682.132974671269,780.696706819507,440,2.1445129732348245e-06,2.1445129732348245e-06
682.132974671269,780.696706819507,460,5.854302723535911e-06,5.854302723535911e-06
682.132974671269,780.696706819507,480,8.452093776085753e-06,8.452093776085753e-06
682.132974671269,780.696706819507,500,1.1831448680076466e-05,1.1831448680076466e-05
682.132974671269,780.696706819507,520,1.614797971230139e-05,1.614797971230139e-05
682.132974671269,780.696706819507,540,2.30890569989939e-05,2.30890569989939e-05
682.132974671269,780.696706819507,560,2.91591077512783e-05,2.91591077512783e-05
682.132974671269,780.696706819507,580,3.539424442064336e-05,3.539424442064336e-05
682.132974671269,780.696706819507,600,4.2346514547792616e-05,4.2346514547792616e-05
682.132974671269,780.696706819507,620,4.9594769227698126e-05,4.9594769227698126e-05
682.132974671269,780.696706819507,640,5.7360706735982555e-05,5.7360706735982555e-05
682.132974671269,780.696706819507,660,6.363806289556974e-05,6.363806289556974e-05
682.132974671269,780.696706819507,680,6.916428984097055e-05,6.916428984097055e-05
682.132974671269,780.696706819507,700,7.531892154456116e-05,7.531892154456116e-05
682.132974671269,780.696706819507,720,7.879239201013609e-05,7.879239201013609e-05
682.132974671269,780.696706819507,740,8.477033712489381e-05,8.477033712489381e-05
682.132974671269,780.696706819507,760,9.000865884992657e-05,9.000865884992657e-05
682.132974671269,780.696706819507,780,9.246732895720718e-05,9.246732895720718e-05
682.132974671269,780.696706819507,800,9.443961017021234e-05,9.443961017021234e-05
682.132974671269,780.696706819507,820,9.71789463970133e-05,9.71789463970133e-05
682.132974671269,780.696706819507,840,9.810014888906282e-05,9.810014888906282e-05
682.132974671269,780.696706819507,860,9.776601544472865e-05,9.776601544472865e-05
682.132974671269,780.696706819507,880,9.913256096458194e-05,9.913256096458194e-05
682.132974671269,780.696706819507,900,9.947538791448675e-05,9.947538791448675e-05
682.132974671269,780.696706819507,920,9.771366452681654e-05,9.771366452681654e-05
682.132974671269,780.696706819507,940,9.668655956605319e-05,9.668655956605319e-05
682.132974671269,780.696706819507,950,9.451715679390336e-05,9.451715679390336e-05
727.132974671269,780.443687122411,340,6.6303795675681e-06,6.6303795675681e-06
727.132974671269,780.443687122411,360,3.2877540899215396e-06,3.2877540899215396e-06
727.132974671269,780.443687122411,380,1.7254782455520076e-06,1.7254782455520076e-06
727.132974671269,780.443687122411,400,5.837187604996905e-07,5.837187604996905e-07
727.132974671269,780.443687122411,420,2.5104970907726255e-07,2.5104970907726255e-07
727.132974671269,780.443687122411,440,2.5894121636113582e-06,2.5894121636113582e-06
727.132974671269,780.443687122411,460,5.6886059350936896e-06,5.6886059350936896e-06
727.132974671269,780.443687122411,480,8.78448560828655e-06,8.78448560828655e-06
727.132974671269,780.443687122411,500,1.6333910604488617e-05,1.6333910604488617e-05
727.132974671269,780.443687122411,520,2.0277353303380444e-05,2.0277353303380444e-05
727.132974671269,780.443687122411,540,2.6721584766332488e-05,2.6721584766332488e-05
727.132974671269,780.443687122411,560,3.413201553465851e-05,3.413201553465851e-05
727.132974671269,780.443687122411,580,4.203035130939267e-05,4.203035130939267e-05
727.132974671269,780.443687122411,600,5.199213343452573e-05,5.199213343452573e-05
727.132974671269,780.443687122411,620,6.034609758957586e-05,6.034609758957586e-05
727.132974671269,780.443687122411,640,6.886929490650227e-05,6.886929490650227e-05
727.132974671269,780.443687122411,660,7.525433324137802e-05,7.525433324137802e-05
727.132974671269,780.443687122411,680,8.263369540127288e-05,8.263369540127288e-05
727.132974671269,780.443687122411,700,9.075426159763717e-05,9.075426159763717e-05
727.132974671269,780.443687122411,720,9.644692827016182e-05,9.644692827016182e-05
727.132974671269,780.443687122411,740,0.00010232829958592347,0.00010232829958592347
727.132974671269,780.443687122411,760,0.00010494845400046511,0.00010494845400046511
727.132974671269,780.443687122411,780,0.00010924884482712973,0.00010924884482712973
727.132974671269,780.443687122411,800,0.0001136995936257364,0.0001136995936257364
727.132974671269,780.443687122411,820,0.0001172830138959631,0.0001172830138959631
727.132974671269,780.443687122411,840,0.000119091383625982,0.000119091383625982
727.132974671269,780.443687122411,860,0.00011798133211073489,0.00011798133211073489
727.132974671269,780.443687122411,880,0.00011934052798061593,0.00011934052798061593
727.132974671269,780.443687122411,900,0.00011933999748884728,0.00011933999748884728
727.132974671269,780.443687122411,920,0.00011796676376039923,0.00011796676376039923
727.132974671269,780.443687122411,940,0.00011626244282694226,0.00011626244282694226
727.132974671269,780.443687122411,950,0.00011458666484996063,0.00011458666484996063
817.132974671269,779.9376477282192,340,8.872705230604416e-06,8.872705230604416e-06
817.132974671269,779.9376477282192,360,3.822167705324527e-06,3.822167705324527e-06
817.132974671269,779.9376477282192,380,7.244056859201619e-07,7.244056859201619e-07
817.132974671269,779.9376477282192,400,1.8660551548267223e-07,1.8660551548267223e-07
817.132974671269,779.9376477282192,420,7.622698425295235e-07,7.622698425295235e-07
817.132974671269,779.9376477282192,440,3.150960002823772e-06,3.150960002823772e-06
817.132974671269,779.9376477282192,460,7.338822073503295e-06,7.338822073503295e-06
817.132974671269,779.9376477282192,480,1.2604949068139456e-05,1.2604949068139456e-05
817.132974671269,779.9376477282192,500,2.0597523322709487e-05,2.0597523322709487e-05
817.132974671269,779.9376477282192,520,2.7499197637289498e-05,2.7499197637289498e-05
817.132974671269,779.9376477282192,540,3.640833259822622e-05,3.640833259822622e-05
817.132974671269,779.9376477282192,560,4.689816769387548e-05,4.689816769387548e-05
817.132974671269,779.9376477282192,580,5.6940664811844187e-05,5.6940664811844187e-05
817.132974671269,779.9376477282192,600,6.804602768088008e-05,6.804602768088008e-05
817.132974671269,779.9376477282192,620,7.747067205025446e-05,7.747067205025446e-05
817.132974671269,779.9376477282192,640,8.886904385994167e-05,8.886904385994167e-05
817.132974671269,779.9376477282192,660,0.00010068147532198505,0.00010068147532198505
817.132974671269,779.9376477282192,680,0.0001103282647528966,0.0001103282647528966
817.132974671269,779.9376477282192,700,0.00011980878303026155,0.00011980878303026155
817.132974671269,779.9376477282192,720,0.00012900770823761525,0.00012900770823761525
817.132974671269,779.9376477282192,740,0.000134421426077879,0.000134421426077879
817.132974671269,779.9376477282192,760,0.00014045190913663776,0.00014045190913663776
817.132974671269,779.9376477282192,780,0.00014636797378564273,0.00014636797378564273
817.132974671269,779.9376477282192,800,0.00014970309057013782,0.00014970309057013782
817.132974671269,779.9376477282192,820,0.00015236741488703384,0.00015236741488703384
