block,pairs,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,x_9,w_9,x_10,w_10,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
0,2+3+4+5+6+7+8+9+10,0.670300,0.964917,0.489270,0.433937,0.752643,0.412538,0.719617,0.766092,0.520086,0.439579,0.172317,0.541508,0.434463,0.252072,0.294319,0.602522,0.347720,0.731671,-2.22865168e-05,0.0244901859,0.00109489726,0.1,0.0221582076
0,2+3+4+5+6+7+8+9+10,0.867369,0.125378,0.616718,0.407275,0.717332,0.365046,0.671643,0.714563,0.860100,0.443639,0.617720,0.613393,0.474833,0.618585,0.544515,0.618346,0.849536,0.407286,-2.22865168e-05,0.0197205254,0.000840761223,0.1,0.0173161532
0,2+3+4+5+6+7+8+9+10,0.844038,0.781995,0.817826,0.459714,0.626824,0.821231,0.145655,0.740900,0.390216,0.732788,0.754020,0.165926,0.511328,0.517374,0.795013,0.480579,0.649144,0.815674,-2.22865168e-05,0.0414366344,0.00145005119,0.1,0.0396176113
0,2+3+4+5+6+7+8+9+10,0.588757,0.555674,0.535031,0.465003,0.360521,0.656804,0.664691,0.782871,0.999949,0.152191,0.756720,0.772382,0.323493,0.293803,0.875044,0.484581,0.611183,0.119092,-2.22865168e-05,0.0145633642,0.000686430457,0.1,0.0121734458
0,2+3+4+5+6+7+8+9+10,0.282115,0.164514,0.448665,0.659592,0.253435,0.396716,0.681302,0.947194,0.734100,0.780153,0.590002,0.101043,0.236828,0.781548,0.149657,0.945800,0.916251,0.265776,-2.22865168e-05,0.0241932632,0.000806345741,0.1,0.0195649132
0,2+3+4+5+6+7+8+9+10,0.582332,0.871027,0.385889,0.105796,0.574787,0.534760,0.892356,0.971234,0.284805,0.507646,0.617417,0.952204,0.444636,0.284393,0.317091,0.392269,0.963485,0.185014,-2.22865168e-05,0.0126331387,0.000604685676,0.1,0.0118294317
0,2+3+4+5+6+7+8+9+10,0.672925,0.147243,0.388252,0.403740,0.461536,0.865688,0.996869,0.205212,0.448170,0.940507,0.685843,0.942313,0.515496,0.318735,0.149604,0.139989,0.816269,0.773126,-2.22865168e-05,0.00978191395,0.000566759707,0.1,0.00677874038
0,2+3+4+5+6+7+8+9+10,0.593422,0.550273,0.723447,0.485573,0.449470,0.490024,0.651650,0.257343,0.170467,0.764517,0.796104,0.605142,0.122469,0.297130,0.403453,0.876158,0.221625,0.738986,-2.22865168e-05,0.00660263762,0.000402585177,0.1,0.00664691268
# step7_json,C:\Users\weishan\Desktop\RbONN\src\calib_data\run_0911_10pairs_w20g30\calib_step7_result_0911_2037.json
# n_pairs,9
# drive,min=0.1,max=1,patterns=8,seed=1699422050
# status,complete
