trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio
0,3,0.5,0.5,0.25,0.00106767957,0.000133731708,0.125255
0,3,1,0.1,0.1,0.000364619099,8.582888e-05,0.235393
0,3,1,0,0,3.48549901e-05,4.72809944e-05,1.35651
0,3,0,1,0,3.00441623e-05,5.01193795e-05,1.66819
0,3,0.5,0,0,1.92459043e-05,4.63247575e-05,2.40699
0,3,0,0.5,0,1.56705145e-05,4.24807996e-05,2.71087
0,3,0,0,0,1.35330243e-05,4.19534463e-05,3.10008
1,3,1,1,1,0.00394097944,0.000271749396,0.0689548
1,3,1,0.775,0.775,0.00310992784,0.000230527567,0.0741263
1,3,1,0.55,0.55,0.0022341505,0.000199136287,0.0891329
1,3,1,0.325,0.325,0.00127384745,0.000149174971,0.117106
1,3,1,0.25,0.25,0.00097539765,0.000129170291,0.132428
1,3,0.5,0.5,0.25,0.00106298469,0.000137532722,0.129384
1,3,1,0.1,0.1,0.000351215926,8.53094218e-05,0.242897
1,3,1,0,0,2.8845436e-05,4.52545896e-05,1.56886
1,3,0,1,0,2.45906074e-05,4.91573301e-05,1.99903
1,3,0.5,0,0,6.17036585e-06,4.53084687e-05,7.34291
1,3,0,0.5,0,5.25869683e-06,4.25189051e-05,8.08545
1,3,0,0,0,-1.17639148e-05,4.39404205e-05,3.73519
2,3,1,1,1,0.00395251064,0.000265364752,0.0671383
2,3,1,0.775,0.775,0.00317510724,0.000231945738,0.0730513
2,3,1,0.55,0.55,0.00223670633,0.000205602466,0.091922
2,3,1,0.325,0.325,0.0012922165,0.000148472299,0.114897
2,3,1,0.25,0.25,0.000963182691,0.000116654674,0.121114
2,3,0.5,0.5,0.25,0.00105746466,0.000126880724,0.119986
2,3,1,0.1,0.1,0.000349824542,8.21988957e-05,0.234972
2,3,1,0,0,3.07946845e-05,4.73917458e-05,1.53896
3,3,1,1,1,0.0040701927,0.000286432536,0.0703732
3,3,1,0.775,0.775,0.00309632315,0.000243156856,0.0785308
3,3,1,0.55,0.55,0.00222170504,0.00020174331,0.0908056
3,3,1,0.325,0.325,0.00129452656,0.00014484327,0.111889
3,3,1,0.1,0.1,0.000348593749,8.62167945e-05,0.247327
4,3,1,1,1,0.00396623986,0.00027602284,0.0695931
5,3,1,1,1,0.00396936738,0.000277115595,0.0698135
0,4,1,1,1,0.00434656754,0.000289380697,0.0665768
0,4,1,0.775,0.775,0.00344152302,0.000238052411,0.0691707
0,4,1,0.55,0.55,0.00247668172,0.000197536963,0.0797587
0,4,1,0.325,0.325,0.00145344982,0.000162906994,0.112083
0,4,1,0.25,0.25,0.00110793388,0.000132071028,0.119205
0,4,0.5,0.5,0.25,0.00120607397,0.000136862367,0.113478
0,4,1,0.1,0.1,0.000419516571,9.82010329e-05,0.234081
0,4,1,0,0,1.07172843e-05,4.63675691e-05,4.32643
0,4,0,1,0,4.19935336e-06,4.78546939e-05,11.3957
0,4,0.5,0,0,8.10519841e-06,4.38245674e-05,5.40697
0,4,0,0.5,0,2.68341018e-06,4.542284e-05,16.9273
0,4,0,0,0,-7.35450163e-06,4.26207272e-05,5.79519
1,4,1,1,1,0.00435697876,0.000298902931,0.0686033
1,4,1,0.775,0.775,0.00345922846,0.00024221746,0.0700207
1,4,1,0.55,0.55,0.00248422913,0.000211781787,0.0852505
1,4,1,0.325,0.325,0.00146961959,0.000150870152,0.102659
1,4,1,0.25,0.25,0.00110830172,0.000135609827,0.122358
1,4,0.5,0.5,0.25,0.00123170641,0.00015090224,0.122515
1,4,1,0.1,0.1,0.000432882276,9.42012664e-05,0.217614
1,4,1,0,0,1.25414241e-05,4.76041625e-05,3.79575
1,4,0,1,0,-3.53830169e-07,5.16328053e-05,145.925
1,4,0.5,0,0,-6.06186968e-07,4.16128585e-05,68.6469
1,4,0,0.5,0,-7.00048794e-06,4.15395524e-05,5.93381
1,4,0,0,0,-2.06476152e-05,4.34853134e-05,2.10607
2,4,1,1,1,0.00439958123,0.000306558485,0.069679
2,4,1,0.775,0.775,0.00343911455,0.000259791122,0.0755401
2,4,1,0.55,0.55,0.00246396305,0.000201565265,0.0818053
2,4,1,0.325,0.325,0.00145650594,0.000148396632,0.101885
2,4,1,0.25,0.25,0.0011250034,0.000144423392,0.128376
2,4,0.5,0.5,0.25,0.00124075206,0.000149475093,0.120471
2,4,1,0.1,0.1,0.000438376076,0.000100063211,0.228259
2,4,1,0,0,2.8185935e-05,4.74335732e-05,1.68288
3,4,1,1,1,0.00440419907,0.000259605233,0.0589449
3,4,1,0.775,0.775,0.00343977799,0.000242113813,0.0703865
3,4,1,0.55,0.55,0.00252004265,0.000213852008,0.0848605
3,4,1,0.325,0.325,0.00145224829,0.000163866942,0.112837
