block,pairs,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
0,2+3+4+5+6+7+8,0.270081,0.602847,0.990278,0.235280,0.206217,0.761420,0.353826,0.635323,0.897574,0.225696,0.581737,0.482442,0.484575,0.897940,-1.48127981e-05,0.0112913343,0.000583645902,0.1,0.0116994475
0,2+3+4+5+6+7+8,0.778377,0.105249,0.755505,0.767944,0.515818,0.237447,0.587671,0.476264,0.958671,0.575288,0.721369,0.898167,0.123517,0.766503,-1.48127981e-05,0.00132679596,0.000161320457,0.1,0.00100339339
0,2+3+4+5+6+7+8,0.136432,0.813072,0.934859,0.901397,0.339195,0.482873,0.146137,0.222717,0.443209,0.626435,0.832306,0.499308,0.342375,0.343296,-1.48127981e-05,0.00403413984,0.000306259233,0.1,0.00439880412
0,2+3+4+5+6+7+8,0.797024,0.324297,0.843708,0.329854,0.797490,0.863321,0.964299,0.382536,0.392041,0.535514,0.379030,0.218841,0.821893,0.506578,-1.48127981e-05,0.0317617928,0.00128896033,0.1,0.0316363376
0,2+3+4+5+6+7+8,0.932435,0.599517,0.831240,0.169975,0.451917,0.628845,0.875847,0.306371,0.566899,0.863486,0.617153,0.820312,0.121307,0.648198,-1.48127981e-05,0.000959032685,0.00012881715,0.1,0.000895622324
0,2+3+4+5+6+7+8,0.618077,0.143587,0.574629,0.581137,0.238009,0.331786,0.977226,0.280055,0.569581,0.661883,0.336907,0.284089,0.298236,0.938026,-1.48127981e-05,0.00750505273,0.000377993643,0.1,0.00749255745
0,2+3+4+5+6+7+8,0.730562,0.542794,0.118310,0.342514,0.178169,0.286424,0.787042,0.873581,0.451592,0.589108,0.860062,0.110367,0.186560,0.825003,-1.48127981e-05,0.00653895358,0.000359016296,0.1,0.00643418651
0,2+3+4+5+6+7+8,0.363771,0.969202,0.840195,0.931052,0.346627,0.426212,0.952180,0.329064,0.583418,0.853914,0.357304,0.651140,0.881989,0.998249,-1.48127981e-05,0.0278973813,0.000999682185,0.1,0.0283544244
# step7_json,C:\Users\weishan\Desktop\RbONN\src\calib_data\run_0911_w20g25\calib_step7_result_0911_0700.json
# n_pairs,7
# drive,min=0.1,max=1,patterns=8,seed=1508384377
# status,complete
