block,pairs,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
0,2+3+4,0.641138,0.250812,0.361043,0.360830,0.775798,0.790872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0304088568,0.000923729175,0.1,0.0285406655
0,2+3+4,0.327372,0.198320,0.897806,0.461042,0.853000,0.655501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0347334749,0.00124248456,0.1,0.0302539652
0,2+3+4,0.477804,0.651736,0.691367,0.803380,0.289996,0.827034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0337005133,0.00101885538,0.1,0.0293436047
0,2+3+4,0.548649,0.159492,0.680408,0.400510,0.219741,0.850659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0180716743,0.000589920297,0.1,0.0166546898
0,2+3+4,0.869252,0.657310,0.722251,0.758016,0.743026,0.345264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0370952707,0.000951551788,0.1,0.0316976404
0,2+3+4,0.517634,0.460313,0.636956,0.197460,0.379197,0.737259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0203254998,0.000750276842,0.1,0.0192704507
0,2+3+4,0.320254,0.406579,0.403848,0.333429,0.889458,0.447763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0238313858,0.000921598686,0.1,0.0220128006
0,2+3+4,0.136211,0.968800,0.142674,0.352379,0.387909,0.786181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0129904094,0.000519284631,0.1,0.0124498048
1,2+3+5,0.905783,0.979921,0.502382,0.960632,0.000000,0.000000,0.977891,0.860527,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0343699977,0.00101585379,0.1,0.031902774
1,2+3+5,0.397834,0.915775,0.520769,0.289703,0.000000,0.000000,0.377604,0.274870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.00599195893,0.000357553932,0.1,0.00515085059
1,2+3+5,0.559329,0.510804,0.158012,0.462848,0.000000,0.000000,0.997187,0.757070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0288073919,0.0010395128,0.1,0.0285698513
1,2+3+5,0.946196,0.791289,0.514821,0.788849,0.000000,0.000000,0.512071,0.400856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0116309506,0.000547660647,0.1,0.0106631488
1,2+3+5,0.651947,0.767746,0.990416,0.974268,0.000000,0.000000,0.732629,0.502273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0192948902,0.000732217536,0.1,0.014224335
1,2+3+5,0.531423,0.154080,0.597813,0.416533,0.000000,0.000000,0.425220,0.155435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.00600306471,0.000299620022,0.1,0.00512210215
1,2+3+5,0.573380,0.161070,0.128635,0.905985,0.000000,0.000000,0.244726,0.575167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.00535452848,0.000346677053,0.1,0.00453998265
1,2+3+5,0.372412,0.897050,0.761661,0.435896,0.000000,0.000000,0.979018,0.779420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0374092766,0.00134195631,0.1,0.0347633048
2,2+3+6,0.697799,0.811177,0.446218,0.804563,0.000000,0.000000,0.000000,0.000000,0.765798,0.304937,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.00595927053,0.000313710129,0.1,0.00573236748
2,2+3+6,0.456759,0.726838,0.265344,0.261777,0.000000,0.000000,0.000000,0.000000,0.588155,0.743211,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.00198707391,0.000221963447,0.1,0.00143176399
2,2+3+6,0.517040,0.322370,0.119795,0.314531,0.000000,0.000000,0.000000,0.000000,0.142713,0.452786,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.00064029197,0.000111488761,0.1,0.000654004393
2,2+3+6,0.201981,0.482020,0.873589,0.450892,0.000000,0.000000,0.000000,0.000000,0.383399,0.279271,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.00416733995,0.000267544359,0.1,0.00344457073
2,2+3+6,0.396325,0.413457,0.885854,0.429333,0.000000,0.000000,0.000000,0.000000,0.948353,0.179038,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.00432291248,0.000294073044,0.1,0.00298610532
2,2+3+6,0.455968,0.226224,0.487079,0.855900,0.000000,0.000000,0.000000,0.000000,0.247236,0.279315,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.00540524277,0.000317847683,0.1,0.00519125477
2,2+3+6,0.232338,0.918338,0.786032,0.381970,0.000000,0.000000,0.000000,0.000000,0.910899,0.314304,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.00291025737,0.000240660824,0.1,0.00154875499
2,2+3+6,0.422475,0.629092,0.189172,0.848378,0.000000,0.000000,0.000000,0.000000,0.232445,0.256837,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.00465042464,0.0002883531,0.1,0.00471124281
3,2+3+7,0.671752,0.927477,0.126810,0.745393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195235,0.576682,0.000000,0.000000,-4.46798265e-05,0.0176647897,0.000578200718,0.1,0.0189341104
3,2+3+7,0.849138,0.923723,0.166949,0.264322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.746684,0.498314,0.000000,0.000000,-4.46798265e-05,0.0233810224,0.000812157354,0.1,0.0237617112
3,2+3+7,0.475509,0.475235,0.700126,0.716650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412581,0.707989,0.000000,0.000000,-4.46798265e-05,0.0174465697,0.000624941803,0.1,0.0196012226
3,2+3+7,0.403939,0.776957,0.394692,0.413895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.896348,0.221774,0.000000,0.000000,-4.46798265e-05,0.00787252942,0.000408971716,0.1,0.00926112262
3,2+3+7,0.244738,0.649266,0.219262,0.537120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.814495,0.227877,0.000000,0.000000,-4.46798265e-05,0.00457420066,0.0003019551,0.1,0.00569977722
3,2+3+7,0.638792,0.183229,0.592681,0.433930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.914734,0.811204,0.000000,0.000000,-4.46798265e-05,0.00461007653,0.000262905943,0.1,0.00551248618
3,2+3+7,0.586718,0.518765,0.118311,0.550394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.591860,0.835856,0.000000,0.000000,-4.46798265e-05,0.00728771818,0.000433090994,0.1,0.00806718454
3,2+3+7,0.631744,0.839010,0.688927,0.726767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176274,0.326714,0.000000,0.000000,-4.46798265e-05,0.0324655102,0.00104763627,0.1,0.0323546147
4,2+3+8,0.555188,0.845014,0.905399,0.362669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.123544,0.713876,-4.46798265e-05,0.0529426403,0.00153129856,0.1,0.0486338813
4,2+3+8,0.212848,0.349822,0.597340,0.344879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349385,0.738352,-4.46798265e-05,0.0490018546,0.0011993128,0.1,0.0480284617
4,2+3+8,0.316874,0.588893,0.837024,0.487325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.910178,0.493823,-4.46798265e-05,0.0936440085,0.00236273873,0.2,0.0899258627
4,2+3+8,0.263670,0.632211,0.284442,0.303211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.842039,0.680048,-4.46798265e-05,0.0737038672,0.00191002808,0.2,0.0708785426
4,2+3+8,0.543033,0.495082,0.897556,0.823697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.543018,0.974374,-4.46798265e-05,0.129481165,0.00355515504,0.2,0.123525202
4,2+3+8,0.238746,0.236017,0.725025,0.130007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.330243,0.906267,-4.46798265e-05,0.041929427,0.00121700498,0.1,0.0408802075
4,2+3+8,0.551787,0.294747,0.465757,0.296648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.817284,0.139838,-4.46798265e-05,0.0325971811,0.00105189504,0.1,0.0315792418
4,2+3+8,0.494447,0.608715,0.636865,0.916687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.493284,0.106022,-4.46798265e-05,0.0479434706,0.00124405427,0.1,0.0416654031
5,2+4+5,0.587061,0.455433,0.000000,0.000000,0.526366,0.280680,0.636487,0.505901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.46798265e-05,0.0145514479,0.000585439056,0.1,0.0133400827
