block,pairs,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
0,2+3+4+5,0.118694,0.334233,0.817469,0.625805,0.310263,0.224580,0.571240,0.282811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.39893982e-05,0.0139826185,0.000516366157,0.1,0.00915887507
0,2+3+4+5,0.882362,0.658790,0.112578,0.237874,0.864943,0.508775,0.498482,0.522626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.39893982e-05,0.0204536242,0.000693134615,0.1,0.017714033
0,2+3+4+5,0.108497,0.660296,0.386424,0.851562,0.762165,0.237703,0.800764,0.475081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.39893982e-05,0.0336021885,0.0010282751,0.1,0.0261339779
0,2+3+4+5,0.130921,0.379178,0.754996,0.209814,0.806633,0.971211,0.107879,0.911635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.39893982e-05,0.0316820123,0.00124050736,0.1,0.0270477814
0,2+3+4+5,0.332761,0.779809,0.899058,0.971027,0.331898,0.367071,0.986753,0.963086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.39893982e-05,0.0603379419,0.00150292452,0.1,0.0490916958
0,2+3+4+5,0.617254,0.213570,0.505025,0.699722,0.457661,0.550866,0.591054,0.440187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.39893982e-05,0.0324143341,0.00103974588,0.1,0.0252819022
0,2+3+4+5,0.751083,0.955852,0.779942,0.244454,0.873294,0.547772,0.511409,0.856729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.39893982e-05,0.0376161678,0.00128752908,0.1,0.0335652565
0,2+3+4+5,0.592945,0.461519,0.593598,0.548329,0.933516,0.675981,0.901504,0.677960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.39893982e-05,0.0774664435,0.00247101738,0.2,0.065781454
1,2+3+4+6,0.303146,0.616835,0.693184,0.169291,0.152215,0.374098,0.000000,0.000000,0.797345,0.941535,0.000000,0.000000,0.000000,0.000000,-4.39893982e-05,0.0201977085,0.000908510653,0.1,0.0181848071
1,2+3+4+6,0.672485,0.730348,0.968534,0.920686,0.517311,0.981430,0.000000,0.000000,0.131198,0.790547,0.000000,0.000000,0.000000,0.000000,-4.39893982e-05,0.0410094348,0.00121793457,0.1,0.0346786967
