trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio
0,1,1,1,1,0.00166515627,0.000164344817,0.0986963
0,1,1,0.9,0.9,0.00149082779,0.000155057125,0.104007
0,1,1,0.7,0.7,0.0011700629,0.00013564106,0.115926
0,1,1,0.45,0.45,0.000749901303,0.000118519133,0.158046
0,1,1,0.25,0.25,0.00164667168,0.00706268378,4.28907
0,1,0.5,0.5,0.25,0.000373481017,8.60757086e-05,0.230469
0,1,1,0.2,0.2,0.000303895161,7.99107338e-05,0.262955
0,1,1,0,0,6.5906118e-06,4.48370291e-05,6.80317
0,1,0,1,0,-8.75558119e-06,4.19232385e-05,4.78817
0,1,0.5,0,0,-7.87135148e-06,4.17800939e-05,5.30787
0,1,0,0.5,0,-1.19195264e-05,4.25856789e-05,3.57277
0,1,0,0,0,-2.47082627e-05,4.20316735e-05,1.70112
1,1,1,1,1,0.00170844888,0.000174914441,0.102382
1,1,1,0.9,0.9,0.00150198034,0.000171195239,0.11398
1,1,1,0.7,0.7,0.0011907861,0.000146387687,0.122934
1,1,1,0.45,0.45,0.000766812992,0.000117385755,0.153083
1,1,1,0.25,0.25,0.000388188768,8.77990617e-05,0.226176
1,1,0.5,0.5,0.25,0.000400893527,8.34608555e-05,0.208187
1,1,1,0.2,0.2,0.000305526669,8.24904016e-05,0.269994
1,1,1,0,0,1.14539334e-05,4.67201547e-05,4.07896
1,1,0,1,0,-1.48312801e-05,4.3073931e-05,2.90426
1,1,0.5,0,0,-1.80764029e-05,4.25809126e-05,2.35561
1,1,0,0.5,0,-1.91904699e-05,4.04852439e-05,2.10965
1,1,0,0,0,-2.84124964e-05,3.78249516e-05,1.33128
2,1,1,0.9,0.9,0.00149111592,0.000165521669,0.111005
2,1,1,0.7,0.7,0.00114605664,0.000140288515,0.12241
2,1,1,0.45,0.45,0.000763985512,0.000118382821,0.154954
2,1,1,0.25,0.25,0.000402265809,9.11187025e-05,0.226514
2,1,0.5,0.5,0.25,0.000410413242,9.30247989e-05,0.226661
2,1,1,0.2,0.2,0.000315651837,8.03212656e-05,0.254462
2,1,1,0,0,2.06486317e-05,4.96434978e-05,2.4042
3,1,1,0.9,0.9,0.00152431298,0.000160391564,0.105222
3,1,1,0.7,0.7,0.00116258638,0.000148089986,0.12738
3,1,1,0.45,0.45,0.00074411383,0.000119773436,0.160961
3,1,1,0.2,0.2,0.000306195685,8.30908408e-05,0.271365
4,1,1,0.9,0.9,0.00150608987,0.000151888569,0.10085
5,1,1,0.9,0.9,0.00149344729,0.000149436843,0.100062
0,2,1,1,1,0.00150589356,0.000161500885,0.107246
0,2,1,0.9,0.9,0.00137553072,0.000160072236,0.116371
0,2,1,0.7,0.7,0.00103557601,0.000130057185,0.125589
0,2,1,0.45,0.45,0.000665081627,0.000106253927,0.159761
0,2,1,0.25,0.25,0.000347630804,8.47338554e-05,0.243747
0,2,0.5,0.5,0.25,0.00036114776,8.9550892e-05,0.247962
0,2,1,0.2,0.2,0.000253009071,7.4780393e-05,0.295564
0,2,1,0,0,-5.74802373e-06,4.11830458e-05,7.16473
0,2,0,1,0,-4.92848903e-06,4.1820102e-05,8.48538
0,2,0.5,0,0,-1.40359549e-05,3.94778333e-05,2.81262
0,2,0,0.5,0,-6.3828653e-06,4.31959474e-05,6.76749
0,2,0,0,0,-1.51359289e-05,3.92089937e-05,2.59046
1,2,1,1,1,0.00154203458,0.000152761072,0.0990646
1,2,1,0.9,0.9,0.00135185736,0.000145993888,0.107995
1,2,1,0.7,0.7,0.00106410704,0.000141427592,0.132907
1,2,1,0.45,0.45,0.000659008361,0.00010628797,0.161285
1,2,1,0.25,0.25,0.000360015104,8.9986674e-05,0.249952
1,2,0.5,0.5,0.25,0.000376610559,8.79483081e-05,0.233526
1,2,1,0.2,0.2,0.000242339672,7.34049648e-05,0.302901
1,2,1,0,0,-7.72184183e-06,4.00610322e-05,5.18802
1,2,0,1,0,0.000277591366,0.0024612465,8.86644
1,2,0.5,0,0,-2.44423993e-05,4.21672047e-05,1.72517
