block,pairs,x_1,w_1,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,x_9,w_9,x_10,w_10,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
0,1+2+3+4+5+6+7+8+9+10,0.267485,0.818795,0.392102,0.194733,0.143451,0.940915,0.210336,0.927012,0.588861,0.799321,0.551626,0.574817,0.810156,0.618989,0.898634,0.776930,0.280609,0.191604,0.939146,0.982241,-2.52731946e-05,0.00509332341,0.000294742521,0.1,0.00588887971
0,1+2+3+4+5+6+7+8+9+10,0.700728,0.718052,0.406195,0.341048,0.695486,0.369554,0.197761,0.158636,0.133293,0.976098,0.757397,0.506874,0.214242,0.637831,0.119758,0.823842,0.444712,0.182874,0.366289,0.910380,-2.52731946e-05,0.00463343751,0.000325998611,0.1,0.00479535898
0,1+2+3+4+5+6+7+8+9+10,0.978079,0.814221,0.135301,0.777275,0.153599,0.141031,0.182338,0.472122,0.117058,0.286272,0.119772,0.791052,0.567007,0.739311,0.571211,0.542687,0.355545,0.424061,0.784630,0.976064,-2.52731946e-05,0.00670077175,0.000411570411,0.1,0.00738818599
0,1+2+3+4+5+6+7+8+9+10,0.815331,0.536603,0.812258,0.903258,0.429505,0.407532,0.958229,0.778402,0.475470,0.608377,0.105820,0.762447,0.169740,0.564319,0.278932,0.910658,0.165889,0.478371,0.315485,0.482297,-2.52731946e-05,0.0198541696,0.000658349028,0.1,0.0183027044
0,1+2+3+4+5+6+7+8+9+10,0.646246,0.718047,0.832511,0.926750,0.983651,0.130325,0.189217,0.939719,0.896343,0.571135,0.608749,0.181821,0.243197,0.543183,0.142549,0.811521,0.946483,0.751526,0.901077,0.549801,-2.52731946e-05,0.0203055119,0.000743633761,0.1,0.018740757
0,1+2+3+4+5+6+7+8+9+10,0.407911,0.983512,0.281026,0.547969,0.108903,0.418764,0.277967,0.694554,0.195758,0.423314,0.193795,0.621279,0.679773,0.964941,0.791000,0.335155,0.611732,0.603965,0.963799,0.687619,-2.52731946e-05,0.00523711014,0.000387098777,0.1,0.00524682062
0,1+2+3+4+5+6+7+8+9+10,0.404575,0.254905,0.125670,0.741298,0.717623,0.893978,0.501861,0.338224,0.979273,0.113268,0.136521,0.763781,0.943791,0.434651,0.652397,0.472905,0.934707,0.708074,0.566285,0.585852,-2.52731946e-05,0.0147226778,0.000666450389,0.1,0.0141132356
0,1+2+3+4+5+6+7+8+9+10,0.286383,0.129776,0.699614,0.902380,0.153106,0.610981,0.640754,0.689648,0.711264,0.894911,0.709572,0.534027,0.517502,0.909723,0.492988,0.892189,0.162016,0.212127,0.401714,0.110556,-2.52731946e-05,0.00572982589,0.000388547202,0.1,0.0050565215
# step7_json,C:\Users\weishan\Desktop\RbONN\src\calib_data\run_0911_10pairs_w15g35\calib_step7_result_0911_2231.json
# n_pairs,10
# drive,min=0.1,max=1,patterns=8,seed=51455511
# status,complete
